Time[s], SS
0.000000000000000, 0
0.000641125000000, 1
0.000757708333333, 0
0.000757750000000, 1
0.000757791666667, 0
0.000757833333333, 1
0.000757958333333, 0
0.000758083333333, 1
0.000758125000000, 0
0.000758166666667, 1
0.000758208333333, 0
0.000758291666667, 1
0.000758333333333, 0
0.000846375000000, 1
0.001374208333333, 0
0.001462500000000, 1
0.001579333333333, 0
0.001580166666667, 1
0.001580250000000, 0
0.002694666666667, 1
0.002811708333333, 0
0.002812458333333, 1
0.002812541666667, 0
0.002812708333333, 1
0.002812750000000, 0
0.002900041666667, 1
0.003735333333333, 0
0.003735416666667, 1
0.003735958333333, 0
0.003824125000000, 1
0.003941125000000, 0
0.003941333333333, 1
0.003941375000000, 0
0.003942958333333, 1
0.003943000000000, 0
0.004029458333333, 1
0.004146375000000, 0
0.004337500000000, 1
0.004454666666667, 0
0.004542875000000, 1
0.004762250000000, 0
0.004762583333333, 1
0.004762625000000, 0
0.005775000000000, 1
0.005993875000000, 0
0.005993916666667, 1
0.005994000000000, 0
0.005994041666667, 1
0.005994083333333, 0
0.005994125000000, 1
0.005994458333333, 0
0.005994750000000, 1
0.005994833333333, 0
0.006699083333333, 1
0.006815875000000, 0
0.006904416666667, 1
0.007432041666667, 0
0.007520541666667, 1
0.007637666666667, 0
0.008650000000000, 1
0.008766791666667, 0
0.008767166666667, 1
0.008767250000000, 0
0.008855291666667, 1
0.009691083333333, 0
0.009779458333333, 1
0.009895916666667, 0
0.009895958333333, 1
0.009896416666667, 0
0.009896500000000, 1
0.009896750000000, 0
0.009984833333333, 1
0.010101750000000, 0
0.010103250000000, 1
0.010103291666667, 0
0.010292833333333, 1
0.010409833333333, 0
0.010411416666667, 1
0.010411458333333, 0
0.010498166666667, 1
0.010717875000000, 0
0.011730375000000, 1
0.011949833333333, 0
0.012654458333333, 1
0.012770333333333, 0
0.012770375000000, 1
0.012771250000000, 0
0.012859833333333, 1
0.013387583333333, 0
0.013475875000000, 1
0.013592916666667, 0
0.014605333333333, 1
0.014722041666667, 0
0.014722166666667, 1
0.014722750000000, 0
0.014810708333333, 1
0.015645666666667, 0
0.015645708333333, 1
0.015645750000000, 0
0.015645791666667, 1
0.015646250000000, 0
0.015646416666667, 1
0.015646583333333, 0
0.015734750000000, 1
0.015851166666667, 0
0.015851208333333, 1
0.015852041666667, 0
0.015940125000000, 1
0.016056208333333, 0
0.016056250000000, 1
0.016056708333333, 0
0.016057083333333, 1
0.016057291666667, 0
0.016248166666667, 1
0.016364458333333, 0
0.016364500000000, 1
0.016365333333333, 0
0.016453541666667, 1
0.016672375000000, 0
0.016672500000000, 1
0.016672750000000, 0
0.016672791666667, 1
0.016672833333333, 0
0.016672875000000, 1
0.016672916666667, 0
0.016673583333333, 1
0.016673625000000, 0
0.017685666666667, 1
0.017905583333333, 0
0.018609750000000, 1
0.018726458333333, 0
0.018726500000000, 1
0.018727083333333, 0
0.018727166666667, 1
0.018727208333333, 0
0.018815125000000, 1
0.019341833333333, 0
0.019341875000000, 1
0.019342708333333, 0
0.019344625000000, 1
0.019344666666667, 0
0.019431166666667, 1
0.019547750000000, 0
0.019547791666667, 1
0.019547833333333, 0
0.019547916666667, 1
0.019547958333333, 0
0.019548000000000, 1
0.019548291666667, 0
0.020560666666667, 1
0.020677416666667, 0
0.020766000000000, 1
0.021600958333333, 0
0.021601041666667, 1
0.021601416666667, 0
0.021602166666667, 1
0.021602250000000, 0
0.021690125000000, 1
0.021806875000000, 0
0.021895458333333, 1
0.022012416666667, 0
0.022203541666667, 1
0.022320291666667, 0
0.022408875000000, 1
0.022628375000000, 0
0.023641000000000, 1
0.023860958333333, 0
0.024565083333333, 1
0.024681958333333, 0
0.024682000000000, 1
0.024682041666667, 0
0.024682083333333, 1
0.024682291666667, 0
0.024683166666667, 1
0.024683208333333, 0
0.024770500000000, 1
0.025298291666667, 0
0.025298583333333, 1
0.025298625000000, 0
0.025386458333333, 1
0.025503750000000, 0
0.026516000000000, 1
0.026632958333333, 0
0.026633500000000, 1
0.026633541666667, 0
0.026634000000000, 1
0.026634041666667, 0
0.026721333333333, 1
0.027556916666667, 0
0.027557208333333, 1
0.027557333333333, 0
0.027558208333333, 1
0.027558250000000, 0
0.027645458333333, 1
0.027762291666667, 0
0.027850791666667, 1
0.027967708333333, 0
0.028158833333333, 1
0.028275583333333, 0
0.028275708333333, 1
0.028275958333333, 0
0.028364166666667, 1
0.028583750000000, 0
0.028583833333333, 1
0.028583958333333, 0
0.028586041666667, 1
0.028586083333333, 0
0.029596333333333, 1
0.029815208333333, 0
0.029815625000000, 1
0.029815791666667, 0
0.029816416666667, 1
0.029816458333333, 0
0.030520458333333, 1
0.030636875000000, 0
0.030636916666667, 1
0.030637625000000, 0
0.030725791666667, 1
0.031253666666667, 0
0.031341833333333, 1
0.031458583333333, 0
0.031458791666667, 1
0.031458875000000, 0
0.031459041666667, 1
0.031459083333333, 0
0.032471250000000, 1
0.032587791666667, 0
0.032587916666667, 1
0.032588083333333, 0
0.032588208333333, 1
0.032588291666667, 0
0.032589583333333, 1
0.032589625000000, 0
0.032676666666667, 1
0.033512416666667, 0
0.033600750000000, 1
0.033717958333333, 0
0.033718333333333, 1
0.033718416666667, 0
0.033806125000000, 1
