Time[s], 
0.000000000000000, 0
0.454303250000000, 1
0.468846750000000, 0
0.770645291666667, 1
0.782161500000000, 0
0.936672291666667, 1
0.937500291666667, 0
0.937596375000000, 1
0.937705875000000, 0
0.937801708333333, 1
0.938732541666667, 0
0.939649875000000, 1
0.939759333333333, 0
0.940471333333333, 1
0.940683458333333, 0
0.940779333333333, 1
0.940888708333333, 0
0.940984708333333, 1
0.941094125000000, 0
0.942627500000000, 1
0.943455708333333, 0
0.943551625000000, 1
0.943661000000000, 0
0.943756958333333, 1
0.944687750000000, 0
0.945605166666667, 1
0.945714625000000, 0
0.946426583333333, 1
0.946638833333333, 0
0.946734666666667, 1
0.946844041666667, 0
0.946939958333333, 1
0.947049375000000, 0
0.948582791666667, 1
0.949411000000000, 0
0.949506833333333, 1
0.949616250000000, 0
0.949712208333333, 1
0.950643083333333, 0
0.951663083333333, 1
0.951772583333333, 0
0.952484500000000, 1
0.952696583333333, 0
0.952792500000000, 1
0.952901958333333, 0
0.952997875000000, 1
0.953107333333333, 0
0.954538041666667, 1
0.955366166666667, 0
0.955462125000000, 1
0.955571500000000, 0
0.955667500000000, 1
0.956598333333333, 0
0.957618333333333, 1
0.957727750000000, 0
0.958439750000000, 1
0.958651708333333, 0
0.958747833333333, 1
0.958857250000000, 0
0.958953125000000, 1
0.959062583333333, 0
0.960595958333333, 1
0.961424125000000, 0
0.961520041666667, 1
0.961629500000000, 0
0.961725250000000, 1
0.962656208333333, 0
0.963573541666667, 1
0.963683041666667, 0
0.964394958333333, 1
0.964607166666667, 0
0.964703000000000, 1
0.964812458333333, 0
0.964908333333333, 1
0.965017833333333, 0
0.966551166666667, 1
0.967379458333333, 0
0.967475291666667, 1
0.967584583333333, 0
0.967680625000000, 1
0.968611666666667, 0
0.969528833333333, 1
0.969638250000000, 0
0.970350208333333, 1
0.970562375000000, 0
0.970658208333333, 1
0.970767833333333, 0
0.970863625000000, 1
0.970973125000000, 0
0.972506375000000, 1
0.973334666666667, 0
0.973430416666667, 1
0.973540125000000, 0
0.973635833333333, 1
0.974566708333333, 0
0.975484041666667, 1
0.975593583333333, 0
0.976305458333333, 1
0.976517666666667, 0
0.976613458333333, 1
0.976723166666667, 0
0.976818791666667, 1
0.976928416666667, 0
0.978461666666667, 1
0.979290041666667, 0
0.979385708333333, 1
0.979495416666667, 0
0.979591000000000, 1
0.980522166666667, 0
0.981439250000000, 1
0.981548916666667, 0
0.982260708333333, 1
0.982472958333333, 0
0.982568708333333, 1
0.982678375000000, 0
0.982774083333333, 1
0.982883666666667, 0
0.984416916666667, 1
0.985245250000000, 0
0.985340958333333, 1
0.985450583333333, 0
0.985546333333333, 1
0.986477375000000, 0
0.987394541666667, 1
0.987504041666667, 0
0.988215916666667, 1
0.988428166666667, 0
0.988524000000000, 1
0.988633500000000, 0
0.988729375000000, 1
0.988838916666667, 0
0.990372458333333, 1
0.991199583333333, 0
0.991296875000000, 1
0.991404958333333, 0
0.991502208333333, 1
0.992431625000000, 0
0.993350375000000, 1
0.993458458333333, 0
0.994171791666667, 1
0.994382625000000, 0
0.994479625000000, 1
0.994587916666667, 0
0.994685250000000, 1
0.994793333333333, 0
0.996326958333333, 1
0.997156583333333, 0
0.997251083333333, 1
0.997361875000000, 0
0.997456416666667, 1
0.998388458333333, 0
0.999407375000000, 1
0.999517875000000, 0
1.000228791666667, 1
1.000441875000000, 0
1.000536833333333, 1
1.000647333333333, 0
1.000742208333333, 1
1.000852708333333, 0
1.002282375000000, 1
1.003111375000000, 0
1.003206458333333, 1
1.003316666666667, 0
1.003411875000000, 1
1.004343458333333, 0
1.005362833333333, 1
1.005472833333333, 0
1.006184291666667, 1
1.006396791666667, 0
1.006492291666667, 1
1.006602166666667, 0
1.006697666666667, 1
1.006807583333333, 0
1.008340458333333, 1
1.009169041666667, 0
1.009264625000000, 1
1.009374416666667, 0
1.009469958333333, 1
1.010401166666667, 0
1.011318208333333, 1
1.011427833333333, 0
1.012139583333333, 1
1.012351958333333, 0
1.012447625000000, 1
1.012557375000000, 0
1.012652958333333, 1
1.012762666666667, 0
1.014295750000000, 1
1.015124250000000, 0
1.015219916666667, 1
1.015329416666667, 0
1.015425250000000, 1
1.016356208333333, 0
1.017273416666667, 1
1.017383083333333, 0
1.018094875000000, 1
1.018307083333333, 0
1.018402916666667, 1
1.018512541666667, 0
1.018608291666667, 1
1.018717875000000, 0
1.020251125000000, 1
1.021079458333333, 0
1.021175166666667, 1
1.021284750000000, 0
1.021380541666667, 1
1.022311458333333, 0
1.023228708333333, 1
1.023338291666667, 0
1.024050125000000, 1
1.024262375000000, 0
1.024358208333333, 1
1.024467750000000, 0
1.024563500000000, 1
1.024673041666667, 0
1.026206375000000, 1
1.027034625000000, 0
1.027130416666667, 1
1.027240000000000, 0
1.027335791666667, 1
1.028266708333333, 0
1.029184000000000, 1
1.029293500000000, 0
1.030005416666667, 1
1.030217583333333, 0
1.030313416666667, 1
1.030422958333333, 0
1.030518708333333, 1
1.030628333333333, 0
1.032058916666667, 1
1.032887166666667, 0
1.032983041666667, 1
1.033092500000000, 0
1.033188333333333, 1
1.034119333333333, 0
1.035139250000000, 1
1.035248708333333, 0
1.035960625000000, 1
1.036173000000000, 0
1.036268666666667, 1
1.036378125000000, 0
1.036474041666667, 1
1.036583833333333, 0
1.038116875000000, 1
1.038945125000000, 0
1.039040958333333, 1
1.039150458333333, 0
1.039246333333333, 1
1.040177250000000, 0
1.041094500000000, 1
1.041204000000000, 0
1.041915916666667, 1
1.042128000000000, 0
1.042223958333333, 1
1.042333500000000, 0
1.042429333333333, 1
1.042538666666667, 0
1.044072125000000, 1
1.044900375000000, 0
1.044996208333333, 1
1.045105750000000, 0
1.045201541666667, 1
1.046132500000000, 0
1.047152458333333, 1
1.047261958333333, 0
1.047973833333333, 1
1.048186083333333, 0
1.048281791666667, 1
1.048391458333333, 0
1.048487208333333, 1
1.048596708333333, 0
1.050027375000000, 1
1.050855666666667, 0
1.050951458333333, 1
1.051060875000000, 0
1.051156833333333, 1
1.052087666666667, 0
1.053107666666667, 1
1.053217208333333, 0
1.053929041666667, 1
1.054141291666667, 0
1.054237125000000, 1
1.054346625000000, 0
1.054442500000000, 1
1.054552041666667, 0
1.056085333333333, 1
1.056913541666667, 0
1.057009416666667, 1
1.057118916666667, 0
1.057214750000000, 1
1.058145583333333, 0
1.059062958333333, 1
1.059172500000000, 0
1.059884375000000, 1
1.060096500000000, 0
1.060192375000000, 1
1.060301916666667, 0
1.060397750000000, 1
